model,K,loc,scale,color1,color2,n,timestamp,gold_nbr_models,gold_nbr_sne,gold_nbr_templates,silver_nbr_models,silver_nbr_sne,silver_nbr_templates,bronze_nbr_models,bronze_nbr_sne,bronze_nbr_templates
SN Ia-91T,0.0007886486960749949,-0.19664582116870205,0.18897550403644026,ztfg,ztfr,560,2026-08-10T20:23:03.321607,80,53,3,80,53,3,560,75,69
SN Ia-91T,0.0007886486960749949,-0.19664582116870205,0.18897550403644026,ztfg,ztfr,560,2026-08-10T20:36:38.540803,80,53,3,80,53,3,560,75,69
SN IIn,0.5403486845770442,-0.09937951384710746,0.2560837227063357,ztfg,ztfr,282,2026-08-10T20:41:03.051777,28,18,4,28,18,4,282,61,84
SN Ib/c,0.0008031766689327801,0.3782558488636091,0.21501743624223235,ztfg,ztfr,126,2026-08-10T20:46:51.099382,21,7,16,21,7,16,126,9,60
SN Ibn,0.0007107565604706262,-0.31381420924634235,0.13633201903360798,ztfg,ztfr,4,2026-08-10T20:47:23.082153,1,1,1,1,1,1,4,4,3
SN Ia-pec,0.0006754431910997853,0.16326321314720948,0.2613616013558572,ztfg,ztfr,198,2026-08-10T20:47:35.491517,8,6,2,8,6,2,198,17,66
SLSN-I,0.0007816268472404196,-0.42663143060262193,0.6390596117701222,ztfg,ztfr,36,2026-08-10T20:49:17.711455,3,2,2,3,2,2,36,9,23
SN Ic,0.5023128963411966,0.28435425965714833,0.2382256157552245,ztfg,ztfr,695,2026-08-10T20:49:39.725715,101,35,14,101,35,14,695,57,75
SN Ic-BL,1.724803649246811,0.04202486357839532,0.166997782908414,ztfg,ztfr,303,2026-08-10T20:53:49.071517,90,24,18,90,24,18,303,28,57
SN II,1.0079602073373923,-0.09692859320401127,0.1661807831623321,ztfg,ztfr,3268,2026-08-10T20:57:05.514576,801,241,24,801,241,24,3268,415,115
SLSN-II,0.0007289196225095717,-0.004681737517254463,0.1457376401448849,ztfg,ztfr,17,2026-08-10T21:07:17.635490,1,1,1,1,1,1,17,5,9
SN Iax,0.0007501856142217132,0.26555937449088607,0.27378376780328373,ztfg,ztfr,156,2026-08-10T21:07:32.878683,0,0,0,0,0,0,156,9,53
SN Ia-91bg,0.29558774962993367,0.17291661690899462,0.2267981673369724,ztfg,ztfr,135,2026-08-10T21:08:09.769405,0,0,0,0,0,0,135,16,40
SN Ia-CSM,3.8187531005235655,-0.0299825666235568,0.04340098997516824,ztfg,ztfr,17,2026-08-10T21:08:39.875641,0,0,0,0,0,0,17,7,15
SN Ia-SC,1.0849376640443706,-0.6466848922586761,0.3040149334287887,ztfg,ztfr,18,2026-08-10T21:08:48.140604,4,2,2,4,2,2,18,4,14
SN Ib,0.4265762090812846,0.27237694791640166,0.2580367387636857,ztfg,ztfr,674,2026-08-10T21:09:08.188581,113,30,21,113,30,21,674,49,82
SN IIb,0.0007639928594604106,0.344800868880632,0.26837056736975184,ztfg,ztfr,380,2026-08-10T21:11:17.643975,67,22,18,67,22,18,380,33,75
SN Ib/c (e),0.4363218596510986,0.2613977576342632,0.2524868676625246,ztfg,ztfr,2243,2026-08-10T21:13:38.709076,277,95,11,277,95,11,2243,177,96
SLSN (e),0.0007043175991581514,-0.2913140063706334,0.5682709518236286,ztfg,ztfr,53,2026-08-10T21:20:53.501922,4,3,2,4,3,2,53,14,28
SLSN (w),0.0006398199719569434,-0.01400513048054635,0.3696583414345749,ztfg,ztfr,336,2026-08-10T21:24:58.486257,32,21,4,32,21,4,336,75,87
SN II (w),1.0372184070847776,-0.09530367629151376,0.16453704391252896,ztfg,ztfr,3550,2026-08-10T21:27:21.295894,1064,318,48,1064,318,48,3550,440,116
SN Ib/c (w),0.3839294744076935,0.2741442559748374,0.2606764768446205,ztfg,ztfr,2190,2026-08-10T21:43:30.661601,534,137,51,534,137,51,2190,180,95
SN Ia (w),0.0007415274177979846,-0.19663727212889281,0.18897606227292008,ztfg,ztfr,560,2026-08-10T21:49:59.493033,80,53,3,80,53,3,560,75,69
SN Ia-pec (w),0.0007158588559467381,0.18082636439985422,0.3000613504268913,ztfg,ztfr,389,2026-08-10T21:52:38.797847,12,8,2,12,8,2,389,37,78
SN Ia (a),0.37741545093942364,-0.1164582613392586,0.2909288403260713,ztfg,ztfr,1084,2026-08-10T21:54:41.656201,92,61,3,92,61,3,1084,128,90
SN CC (a),0.5526778808523618,0.0319948829775598,0.26507902416315465,ztfg,ztfr,5951,2026-08-10T22:00:03.069498,2171,579,109,2171,579,109,5951,696,119
SN IIP,1.079304612542685,-0.0694754450148906,0.154796864272139,ztfg,ztfr,184,2026-08-11T07:54:35.230038,20,10,14,20,10,14,184,25,75
